player 1,player 2,time,board,score ratio,winner
greedy_player,team12_A1,0.5,"random-3x4.txt
",0.745,team12_A1
team12_A1,greedy_player,0.5,"random-3x4.txt
",0.617,team12_A1
greedy_player,team12_A1,0.5,"random-3x4.txt
",0.804,team12_A1
team12_A1,greedy_player,1,"random-3x4.txt
",0.735,team12_A1
greedy_player,team12_A1,1,"random-3x4.txt
",0.74,team12_A1
team12_A1,greedy_player,1,"random-3x4.txt
",0.812,team12_A1
greedy_player,team12_A1,1,"random-3x4.txt
",0.696,team12_A1
team12_A1,greedy_player,1,"random-3x4.txt
",0.532,team12_A1
greedy_player,team12_A1,1,"random-3x4.txt
",0.6739999999999999,team12_A1
team12_A1,greedy_player,5,"random-3x4.txt
",0.745,team12_A1
greedy_player,team12_A1,5,"random-3x4.txt
",0.36,greedy_player
team12_A1,greedy_player,5,"random-3x4.txt
",0.784,team12_A1
greedy_player,team12_A1,5,"random-3x4.txt
",0.511,team12_A1
team12_A1,greedy_player,5,"random-3x4.txt
",0.771,team12_A1
greedy_player,team12_A1,5,"random-3x4.txt
",0.41700000000000004,greedy_player
team12_A1,random_player,0.1,"random-4x4.txt
",0.815,team12_A1
random_player,team12_A1,0.1,"random-4x4.txt
",0.957,team12_A1
team12_A1,random_player,0.1,"random-4x4.txt
",0.725,team12_A1
random_player,team12_A1,0.1,"random-4x4.txt
",0.836,team12_A1
team12_A1,random_player,0.1,"random-4x4.txt
",0.791,team12_A1
random_player,team12_A1,0.1,"random-4x4.txt
",0.919,team12_A1
team12_A1,random_player,0.5,"random-4x4.txt
",0.836,team12_A1
random_player,team12_A1,0.5,"random-4x4.txt
",0.6970000000000001,team12_A1
team12_A1,random_player,0.5,"random-4x4.txt
",0.855,team12_A1
random_player,team12_A1,0.5,"random-4x4.txt
",0.851,team12_A1
team12_A1,random_player,0.5,"random-4x4.txt
",0.931,team12_A1
random_player,team12_A1,0.5,"random-4x4.txt
",0.882,team12_A1
team12_A1,random_player,1,"random-4x4.txt
",0.803,team12_A1
random_player,team12_A1,1,"random-4x4.txt
",0.875,team12_A1
team12_A1,random_player,1,"random-4x4.txt
",0.885,team12_A1
random_player,team12_A1,1,"random-4x4.txt
",0.919,team12_A1
team12_A1,random_player,1,"random-4x4.txt
",0.931,team12_A1
random_player,team12_A1,1,"random-4x4.txt
",0.781,team12_A1
team12_A1,random_player,5,"random-4x4.txt
",0.656,team12_A1
random_player,team12_A1,5,"random-4x4.txt
",0.859,team12_A1
team12_A1,random_player,5,"random-4x4.txt
",0.843,team12_A1
random_player,team12_A1,5,"random-4x4.txt
",0.827,team12_A1
team12_A1,random_player,5,"random-4x4.txt
",0.826,team12_A1
random_player,team12_A1,5,"random-4x4.txt
",0.867,team12_A1
team12_A1,greedy_player,0.1,"random-4x4.txt
",0.738,team12_A1
greedy_player,team12_A1,0.1,"random-4x4.txt
",0.738,team12_A1
team12_A1,greedy_player,0.1,"random-4x4.txt
",0.633,team12_A1
greedy_player,team12_A1,0.1,"random-4x4.txt
",0.754,team12_A1
team12_A1,greedy_player,0.1,"random-4x4.txt
",0.778,team12_A1
greedy_player,team12_A1,0.1,"random-4x4.txt
",0.721,team12_A1
team12_A1,greedy_player,0.5,"random-4x4.txt
",0.762,team12_A1
greedy_player,team12_A1,0.5,"random-4x4.txt
",0.43799999999999994,greedy_player
team12_A1,greedy_player,0.5,"random-4x4.txt
",0.754,team12_A1
greedy_player,team12_A1,0.5,"random-4x4.txt
",0.836,team12_A1
team12_A1,greedy_player,0.5,"random-4x4.txt
",0.783,team12_A1
greedy_player,team12_A1,0.5,"random-4x4.txt
",0.516,team12_A1
team12_A1,greedy_player,1,"random-4x4.txt
",0.729,team12_A1
greedy_player,team12_A1,1,"random-4x4.txt
",0.758,team12_A1
team12_A1,greedy_player,1,"random-4x4.txt
",0.468,greedy_player
